Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAAAJgen0_uff_E=1547.84,-4.9,7.509,3.1
6lu7_idAAAJgen0_uff_E=1547.84,-4.8,2.104,1.6
6lu7_idAAAKgen0_uff_E=1033.31,-6.1,0.0,0.0
6lu7_idAAAKgen0_uff_E=1033.31,-6.1,8.006,2.872
6lu7_idAAAKgen0_uff_E=1033.31,-6.1,8.023,3.241
6lu7_idAAAKgen0_uff_E=1033.31,-5.9,2.539,1.609
6lu7_idAAAKgen0_uff_E=1033.31,-5.9,5.666,2.191
6lu7_idAAAKgen0_uff_E=1033.31,-5.9,6.137,2.624
6lu7_idAAAKgen0_uff_E=1033.31,-5.8,7.914,2.502
6lu7_idAAAKgen0_uff_E=1033.31,-5.8,2.993,1.951
6lu7_idAAAKgen0_uff_E=1033.31,-5.7,5.2,2.425
6lu7_idAAALgen0_uff_E=510.03,-5.4,0.0,0.0
6lu7_idAAALgen0_uff_E=510.03,-5.3,2.516,1.495
6lu7_idAAALgen0_uff_E=510.03,-5.3,3.751,2.286
6lu7_idAAALgen0_uff_E=510.03,-5.2,5.152,3.003
6lu7_idAAALgen0_uff_E=510.03,-4.9,4.336,2.452
6lu7_idAAALgen0_uff_E=510.03,-4.8,8.905,2.405
6lu7_idAAALgen0_uff_E=510.03,-4.8,4.909,2.095
6lu7_idAAALgen0_uff_E=510.03,-4.7,9.153,2.311
6lu7_idAAALgen0_uff_E=510.03,-4.6,5.386,2.37
